world_size:  8
ModelArgs(max_batch_size=8, max_seq_len=16384, dtype='fp8', vocab_size=129280, dim=7168, inter_dim=18432, moe_inter_dim=2048, n_layers=61, n_dense_layers=3, n_heads=128, n_routed_experts=256, n_shared_experts=1, n_activated_experts=8, n_expert_groups=8, n_limited_groups=4, score_func='sigmoid', route_scale=2.5, q_lora_rank=1536, kv_lora_rank=512, qk_nope_head_dim=128, qk_rope_head_dim=64, v_head_dim=128, original_seq_len=4096, rope_theta=10000.0, rope_factor=40, beta_fast=32, beta_slow=1, mscale=1.0)
now rank:  0
now rank:  4
now rank:  7
now rank:  6
now rank:  1
now rank:  2
now rank:  5
now rank:  3
------------------------------------------------------------------------------------------------------------------------
|               weight name                |          weight shape          |   number   |      dtype       | space(Bytes) |
| layers.1.attn.wq_b.weight                | torch.Size([3072, 1536])       | 4718592    | torch.float8_e4m3fn | 4718592      |
| layers.1.attn.wq_b.scale                 | torch.Size([24, 12])           | 288        | torch.float32    | 1152         |
| layers.1.attn.wkv_a.weight               | torch.Size([576, 7168])        | 4128768    | torch.float8_e4m3fn | 4128768      |
| layers.1.attn.wkv_a.scale                | torch.Size([5, 56])            | 280        | torch.float32    | 1120         |
| layers.1.attn.kv_norm.weight             | torch.Size([512])              | 512        | torch.bfloat16   | 1024         |
| layers.1.attn.wkv_b.weight               | torch.Size([4096, 512])        | 2097152    | torch.float8_e4m3fn | 2097152      |
| layers.1.attn.wkv_b.scale                | torch.Size([32, 4])            | 128        | torch.float32    | 512          |
| layers.1.attn.wo.weight                  | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.1.attn.wo.scale                   | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.1.ffn.w1.weight                   | torch.Size([2304, 7168])       | 16515072   | torch.float8_e4m3fn | 16515072     |
| layers.1.ffn.w1.scale                    | torch.Size([18, 56])           | 1008       | torch.float32    | 4032         |
| layers.1.ffn.w2.weight                   | torch.Size([7168, 2304])       | 16515072   | torch.float8_e4m3fn | 16515072     |
| layers.1.ffn.w2.scale                    | torch.Size([56, 18])           | 1008       | torch.float32    | 4032         |
| layers.1.ffn.w3.weight                   | torch.Size([2304, 7168])       | 16515072   | torch.float8_e4m3fn | 16515072     |
| layers.1.ffn.w3.scale                    | torch.Size([18, 56])           | 1008       | torch.float32    | 4032         |
| layers.1.attn_norm.weight                | torch.Size([7168])             | 7168       | torch.bfloat16   | 14336        |
| layers.1.ffn_norm.weight                 | torch.Size([7168])             | 7168       | torch.bfloat16   | 14336        |
| layers.2.attn.wq_a.weight                | torch.Size([1536, 7168])       | 11010048   | torch.float8_e4m3fn | 11010048     |
| layers.2.attn.wq_a.scale                 | torch.Size([12, 56])           | 672        | torch.float32    | 2688         |
| layers.2.attn.q_norm.weight              | torch.Size([1536])             | 1536       | torch.bfloat16   | 3072         |
| layers.2.attn.wq_b.weight                | torch.Size([3072, 1536])       | 4718592    | torch.float8_e4m3fn | 4718592      |
| layers.2.attn.wq_b.scale                 | torch.Size([24, 12])           | 288        | torch.float32    | 1152         |
| layers.2.attn.wkv_a.weight               | torch.Size([576, 7168])        | 4128768    | torch.float8_e4m3fn | 4128768      |
| layers.2.attn.wkv_a.scale                | torch.Size([5, 56])            | 280        | torch.float32    | 1120         |
| layers.2.attn.kv_norm.weight             | torch.Size([512])              | 512        | torch.bfloat16   | 1024         |
| layers.2.attn.wkv_b.weight               | torch.Size([4096, 512])        | 2097152    | torch.float8_e4m3fn | 2097152      |
| layers.2.attn.wkv_b.scale                | torch.Size([32, 4])            | 128        | torch.float32    | 512          |
| layers.2.attn.wo.weight                  | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.2.attn.wo.scale                   | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.2.ffn.w1.weight                   | torch.Size([2304, 7168])       | 16515072   | torch.float8_e4m3fn | 16515072     |
| layers.2.ffn.w1.scale                    | torch.Size([18, 56])           | 1008       | torch.float32    | 4032         |
| layers.2.ffn.w2.weight                   | torch.Size([7168, 2304])       | 16515072   | torch.float8_e4m3fn | 16515072     |
| layers.2.ffn.w2.scale                    | torch.Size([56, 18])           | 1008       | torch.float32    | 4032         |
| layers.2.ffn.w3.weight                   | torch.Size([2304, 7168])       | 16515072   | torch.float8_e4m3fn | 16515072     |
| layers.2.ffn.w3.scale                    | torch.Size([18, 56])           | 1008       | torch.float32    | 4032         |
| layers.2.attn_norm.weight                | torch.Size([7168])             | 7168       | torch.bfloat16   | 14336        |
| layers.2.ffn_norm.weight                 | torch.Size([7168])             | 7168       | torch.bfloat16   | 14336        |
| layers.3.attn.wq_a.weight                | torch.Size([1536, 7168])       | 11010048   | torch.float8_e4m3fn | 11010048     |
| layers.3.attn.wq_a.scale                 | torch.Size([12, 56])           | 672        | torch.float32    | 2688         |
| layers.3.attn.q_norm.weight              | torch.Size([1536])             | 1536       | torch.bfloat16   | 3072         |
| layers.3.attn.wq_b.weight                | torch.Size([3072, 1536])       | 4718592    | torch.float8_e4m3fn | 4718592      |
| layers.3.attn.wq_b.scale                 | torch.Size([24, 12])           | 288        | torch.float32    | 1152         |
| layers.3.attn.wkv_a.weight               | torch.Size([576, 7168])        | 4128768    | torch.float8_e4m3fn | 4128768      |
| layers.3.attn.wkv_a.scale                | torch.Size([5, 56])            | 280        | torch.float32    | 1120         |
| layers.3.attn.kv_norm.weight             | torch.Size([512])              | 512        | torch.bfloat16   | 1024         |
| layers.3.attn.wkv_b.weight               | torch.Size([4096, 512])        | 2097152    | torch.float8_e4m3fn | 2097152      |
| layers.3.attn.wkv_b.scale                | torch.Size([32, 4])            | 128        | torch.float32    | 512          |
| layers.3.attn.wo.weight                  | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.attn.wo.scale                   | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.gate.weight                 | torch.Size([256, 7168])        | 1835008    | torch.bfloat16   | 3670016      |
| layers.3.ffn.gate.bias                   | torch.Size([256])              | 256        | torch.bfloat16   | 512          |
| layers.3.ffn.experts.0.w1.weight         | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.0.w1.scale          | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.0.w2.weight         | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.0.w2.scale          | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.0.w3.weight         | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.0.w3.scale          | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.1.w1.weight         | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.1.w1.scale          | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.1.w2.weight         | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.1.w2.scale          | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.1.w3.weight         | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.1.w3.scale          | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.2.w1.weight         | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.2.w1.scale          | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.2.w2.weight         | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.2.w2.scale          | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.2.w3.weight         | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.2.w3.scale          | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.3.w1.weight         | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.3.w1.scale          | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.3.w2.weight         | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.3.w2.scale          | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.3.w3.weight         | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.3.w3.scale          | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.4.w1.weight         | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.4.w1.scale          | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.4.w2.weight         | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.4.w2.scale          | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.4.w3.weight         | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.4.w3.scale          | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.5.w1.weight         | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.5.w1.scale          | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.5.w2.weight         | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.5.w2.scale          | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.5.w3.weight         | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.5.w3.scale          | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.6.w1.weight         | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.6.w1.scale          | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.6.w2.weight         | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.6.w2.scale          | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.6.w3.weight         | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.6.w3.scale          | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.7.w1.weight         | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.7.w1.scale          | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.7.w2.weight         | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.7.w2.scale          | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.7.w3.weight         | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.7.w3.scale          | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.8.w1.weight         | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.8.w1.scale          | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.8.w2.weight         | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.8.w2.scale          | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.8.w3.weight         | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.8.w3.scale          | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.9.w1.weight         | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.9.w1.scale          | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.9.w2.weight         | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.9.w2.scale          | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.9.w3.weight         | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.9.w3.scale          | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.10.w1.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.10.w1.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.10.w2.weight        | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.10.w2.scale         | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.10.w3.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.10.w3.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.11.w1.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.11.w1.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.11.w2.weight        | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.11.w2.scale         | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.11.w3.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.11.w3.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.12.w1.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.12.w1.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.12.w2.weight        | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.12.w2.scale         | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.12.w3.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.12.w3.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.13.w1.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.13.w1.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.13.w2.weight        | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.13.w2.scale         | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.13.w3.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.13.w3.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.14.w1.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.14.w1.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.14.w2.weight        | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.14.w2.scale         | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.14.w3.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.14.w3.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.15.w1.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.15.w1.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.15.w2.weight        | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.15.w2.scale         | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.15.w3.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.15.w3.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.16.w1.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.16.w1.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.16.w2.weight        | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.16.w2.scale         | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.16.w3.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.16.w3.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.17.w1.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.17.w1.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.17.w2.weight        | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.17.w2.scale         | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.17.w3.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.17.w3.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.18.w1.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.18.w1.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.18.w2.weight        | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.18.w2.scale         | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.18.w3.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.18.w3.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.19.w1.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.19.w1.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.19.w2.weight        | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.19.w2.scale         | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.19.w3.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.19.w3.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.20.w1.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.20.w1.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.20.w2.weight        | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.20.w2.scale         | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.20.w3.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.20.w3.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.21.w1.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.21.w1.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.21.w2.weight        | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.21.w2.scale         | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.21.w3.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.21.w3.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.22.w1.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.22.w1.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.22.w2.weight        | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.22.w2.scale         | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.22.w3.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.22.w3.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.23.w1.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.23.w1.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.23.w2.weight        | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.23.w2.scale         | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.23.w3.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.23.w3.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.24.w1.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.24.w1.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.24.w2.weight        | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.24.w2.scale         | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.24.w3.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.24.w3.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.25.w1.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.25.w1.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.25.w2.weight        | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.25.w2.scale         | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.25.w3.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.25.w3.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.26.w1.weight        | torch.Size([2048, 7168])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.26.w1.scale         | torch.Size([16, 56])           | 896        | torch.float32    | 3584         |
| layers.3.ffn.experts.26.w2.weight        | torch.Size([7168, 2048])       | 14680064   | torch.float8_e4m3fn | 14680064     |
| layers.3.ffn.experts.26.w2.scale         | torch.Size([56, 16])           | 896        | torch.float32    | 3584         |
